date,product,region,status,amount,quantity
2024-01-03,Wireless Mouse,North America,completed,29.99,3
2024-01-05,Mechanical Keyboard,Europe,completed,89.99,1
2024-01-07,USB-C Hub,Asia Pacific,pending,49.99,2
2024-01-09,Monitor Stand,North America,completed,39.99,1
2024-01-11,Webcam HD,Europe,completed,74.99,2
2024-01-13,Laptop Stand,Asia Pacific,completed,34.99,4
2024-01-15,Desk Lamp,North America,cancelled,24.99,1
2024-01-17,Headset Pro,Europe,completed,119.99,1
2024-01-19,Mousepad XL,Asia Pacific,completed,19.99,5
2024-01-21,Cable Management Kit,,completed,14.99,3
2024-01-23,Wireless Charger,North America,completed,44.99,2
2024-01-25,Blue Light Glasses,Europe,pending,29.99,1
2024-01-27,Ergonomic Chair,Asia Pacific,completed,299.99,1
2024-01-29,Desk Organiser,North America,completed,22.99,2
2024-01-31,Portable SSD,Europe,completed,89.99,3
2024-02-02,Wireless Mouse,Asia Pacific,completed,29.99,4
2024-02-04,Mechanical Keyboard,North America,completed,89.99,2
2024-02-06,USB-C Hub,Europe,completed,49.99,1
2024-02-08,Monitor Stand,Asia Pacific,cancelled,39.99,1
2024-02-10,Webcam HD,North America,completed,74.99,1
2024-02-12,Laptop Stand,Europe,completed,34.99,3
2024-02-14,Desk Lamp,,completed,24.99,2
2024-02-16,Headset Pro,Asia Pacific,completed,119.99,2
2024-02-18,Mousepad XL,North America,completed,19.99,6
2024-02-20,Cable Management Kit,Europe,pending,14.99,4
2024-02-22,Wireless Charger,Asia Pacific,completed,44.99,3
2024-02-24,Blue Light Glasses,North America,completed,29.99,2
2024-02-26,Ergonomic Chair,Europe,completed,299.99,1
2024-02-28,Desk Organiser,Asia Pacific,completed,22.99,3
2024-03-01,Portable SSD,North America,completed,89.99,2
2024-03-03,Wireless Mouse,Europe,completed,29.99,5
2024-03-05,Mechanical Keyboard,Asia Pacific,completed,89.99,1
2024-03-07,USB-C Hub,North America,cancelled,49.99,2
2024-03-09,Monitor Stand,Europe,completed,39.99,4
2024-03-11,Webcam HD,,completed,74.99,1
2024-03-13,Laptop Stand,North America,completed,34.99,2
2024-03-15,Desk Lamp,Asia Pacific,completed,24.99,3
2024-03-17,Headset Pro,Europe,completed,119.99,1
2024-03-19,Mousepad XL,North America,pending,19.99,4
2024-03-21,Cable Management Kit,Asia Pacific,completed,14.99,5
2024-03-23,Wireless Charger,Europe,completed,44.99,2
2024-03-25,Blue Light Glasses,Asia Pacific,completed,29.99,3
2024-03-27,Ergonomic Chair,North America,completed,299.99,2
2024-03-29,Desk Organiser,Europe,completed,22.99,1
2024-03-31,Portable SSD,Asia Pacific,completed,89.99,4
2024-04-02,Wireless Mouse,North America,completed,29.99,2
2024-04-04,Mechanical Keyboard,Europe,cancelled,89.99,1
2024-04-06,USB-C Hub,Asia Pacific,completed,49.99,3
2024-04-08,Monitor Stand,North America,completed,39.99,2
2024-04-10,Webcam HD,Europe,completed,74.99,3
2024-04-12,Laptop Stand,,completed,34.99,1
2024-04-14,Desk Lamp,Asia Pacific,completed,24.99,4
2024-04-16,Headset Pro,North America,completed,119.99,1
2024-04-18,Mousepad XL,Europe,completed,19.99,3
2024-04-20,Cable Management Kit,Asia Pacific,completed,14.99,6
2024-04-22,Wireless Charger,North America,pending,44.99,1
2024-04-24,Blue Light Glasses,Europe,completed,29.99,4
2024-04-26,Ergonomic Chair,Asia Pacific,completed,299.99,1
2024-04-28,Desk Organiser,North America,completed,22.99,5
2024-04-30,Portable SSD,Europe,completed,89.99,2
2024-05-02,Wireless Mouse,Asia Pacific,completed,29.99,3
2024-05-04,Mechanical Keyboard,North America,completed,89.99,2
2024-05-06,USB-C Hub,Europe,completed,49.99,4
2024-05-08,Monitor Stand,Asia Pacific,cancelled,39.99,1
2024-05-10,Webcam HD,North America,completed,74.99,2
2024-05-12,Laptop Stand,Europe,completed,34.99,3
2024-05-14,Desk Lamp,Asia Pacific,completed,24.99,2
2024-05-16,Headset Pro,,completed,119.99,1
2024-05-18,Mousepad XL,North America,completed,19.99,5
2024-05-20,Cable Management Kit,Europe,completed,14.99,3
2024-05-22,Wireless Charger,Asia Pacific,completed,44.99,2
2024-05-24,Blue Light Glasses,North America,completed,29.99,1
2024-05-26,Ergonomic Chair,Europe,completed,299.99,1
2024-05-28,Desk Organiser,Asia Pacific,completed,22.99,4
2024-05-30,Portable SSD,North America,completed,89.99,3
